gameID,aPlayer,aRating,aScore,bPlayer,bRating,bScore
"32","Joeseph9","7","0","Jose15","8","2"
"32","Tom11","3","0","Jessica10","7","2"
"33","Khoman 6","6","2","Jonathan5","9","0"
"33","John4","4","2","Alex2","3","0"
"33","Joeseph9","7","2","Jeffrey1","7","0"
"33","Danny19","9","2","Vivien3","8","0"
"33","Martin16","6","2","Max14","5","0"
"33","Karen13","7","2","","",""
"34","Michael7","8","5","Khoman 6","6","0"
"34","Jessica10","7","5","Alex2","3","0"
"34","Tom11","3","5","Max14","5","0"
"34","Jose15","8","5","Chris20","3","0"
"35","Max14","5","0","Frank8","9","4"
"35","Alex2","3","0","Vivien3","8","4"
"35","Jeffrey1","7","0","John4","4","4"
"35","Ryan18","5","0","Michael7","8","4"
"35","Chris20","3","0","Danny19","9","4"
"35","Tom11","3","0","Sherman12","5","4"
"35","Jose15","8","0","Joeseph9","7","4"
"35","Jessica10","7","0","Karen13","7","4"
"36","Joeseph9","7","2","Chris20","3","0"
"36","Ryan18","5","2","Tom11","3","0"
"36","Jose15","8","2","Martin16","6","0"
"36","Jessica10","7","2","Sherman12","5","0"
"36","Danny19","9","2","Jonathan5","9","0"
"36","John4","4","2","Michael7","8","0"
"36","Khoman 6","6","2","Marcus17","4","0"
"36","Max14","5","2","Karen13","7","0"
"37","Joeseph9","7","4","Michael7","8","0"
"37","Karen13","7","4","Jose15","8","0"
"37","Frank8","9","4","Alex2","3","0"
"37","Chris20","3","4","Tom11","3","0"
"37","Marcus17","4","4","John4","4","0"
"37","Danny19","9","4","Jessica10","7","0"
"37","Jonathan5","9","4","Ryan18","5","0"
"37","Martin16","6","4","","",""
"38","Sherman12","5","1","Tom11","3","0"
"38","Martin16","6","1","Chris20","3","0"
"38","John4","4","1","Joeseph9","7","0"
"38","Vivien3","8","1","Michael7","8","0"
"39","Michael7","8","6","Sherman12","5","0"
"39","Vivien3","8","6","Tom11","3","0"
"39","Jonathan5","9","6","Marcus17","4","0"
"39","Martin16","6","6","Jose15","8","0"
"39","Frank8","9","6","Jessica10","7","0"
"39","Danny19","9","6","Chris20","3","0"
"39","Ryan18","5","6","John4","4","0"
"39","Alex2","3","6","","",""
"40","Michael7","8","1","Tom11","3","0"
"40","Max14","5","1","Jessica10","7","0"
"40","Vivien3","8","1","John4","4","0"
"40","Frank8","9","1","Jonathan5","9","0"
"40","Alex2","3","1","Sherman12","5","0"
"40","Ryan18","5","1","Jose15","8","0"
"40","Marcus17","4","1","Chris20","3","0"
"41","Jonathan5","9","2","Jeffrey1","7","0"
"41","Karen13","7","2","Jessica10","7","0"
"41","John4","4","2","Tom11","3","0"
"41","Frank8","9","2","Max14","5","0"
"41","Chris20","3","2","Ryan18","5","0"
"42","Jessica10","7","3","Frank8","9","0"
"42","John4","4","3","Jeffrey1","7","0"
"42","Michael7","8","3","Tom11","3","0"
"42","Jonathan5","9","3","Max14","5","0"
"42","Ryan18","5","3","Karen13","7","0"
"42","Joeseph9","7","3","","",""
"43","Marcus17","4","0","Alex2","3","2"
"43","Martin16","6","0","Joeseph9","7","2"
"43","Chris20","3","0","Michael7","8","2"
"43","Danny19","9","0","Khoman 6","6","2"
"43","Max14","5","0","Jonathan5","9","2"
"43","Frank8","9","0","Vivien3","8","2"
"44","Karen13","7","0","Marcus17","4","0"
"44","Khoman 6","6","0","Vivien3","8","0"
"44","Frank8","9","0","Jessica10","7","0"
"44","Max14","5","0","Joeseph9","7","0"
"44","John4","4","0","Tom11","3","0"
"44","Sherman12","5","0","Jose15","8","0"
"44","Jeffrey1","7","0","Chris20","3","0"
"44","Ryan18","5","0","Jonathan5","9","0"
"45","Sherman12","5","1","Joeseph9","7","0"
"45","Tom11","3","1","John4","4","0"
"45","Karen13","7","1","Martin16","6","0"
"45","Danny19","9","1","Jose15","8","0"
"45","Khoman 6","6","1","Frank8","9","0"
"45","Vivien3","8","1","","",""
"46","Ryan18","5","0","John4","4","3"
"46","Chris20","3","0","Danny19","9","3"
"46","Sherman12","5","0","Jose15","8","3"
"46","Khoman 6","6","0","Jonathan5","9","3"
"46","Marcus17","4","0","Joeseph9","7","3"
"46","Martin16","6","0","Michael7","8","3"
"46","Karen13","7","0","","",""
"47","Danny19","9","0","Vivien3","8","2"
"47","Karen13","7","0","Jonathan5","9","2"
"47","Alex2","3","0","Max14","5","2"
"47","Martin16","6","0","Khoman 6","6","2"
"48","John4","4","0","Michael7","8","5"
"48","Tom11","3","0","Jose15","8","5"
"48","Joeseph9","7","0","Khoman 6","6","5"
"48","Sherman12","5","0","Jessica10","7","5"
"49","Khoman 6","6","0","Jessica10","7","3"
"49","Sherman12","5","0","Danny19","9","3"
"49","John4","4","0","Alex2","3","3"
"49","Ryan18","5","0","Jonathan5","9","3"
"49","Karen13","7","0","Martin16","6","3"
"49","Max14","5","0","Joeseph9","7","3"
"50","Alex2","3","0","Khoman 6","6","0"
"50","Tom11","3","0","John4","4","0"
"50","Martin16","6","0","Joeseph9","7","0"
"50","Vivien3","8","0","Jonathan5","9","0"
"50","Marcus17","4","0","Jeffrey1","7","0"
"50","Frank8","9","0","","",""
"51","Sherman12","5","2","Chris20","3","0"
"51","Alex2","3","2","Karen13","7","0"
"51","Jessica10","7","2","Jonathan5","9","0"
"51","Jose15","8","2","Max14","5","0"
"51","Frank8","9","2","Vivien3","8","0"
"51","Jeffrey1","7","2","Khoman 6","6","0"
"51","John4","4","2","Tom11","3","0"
"51","Danny19","9","2","Ryan18","5","0"
"52","Jeffrey1","7","1","Max14","5","0"
"52","Karen13","7","1","John4","4","0"
"52","Khoman 6","6","1","Jonathan5","9","0"
"52","Danny19","9","1","Joeseph9","7","0"
"52","Sherman12","5","1","Ryan18","5","0"
"52","Alex2","3","1","Tom11","3","0"
"52","Michael7","8","1","Frank8","9","0"
"53","Alex2","3","0","Joeseph9","7","1"
"53","Ryan18","5","0","Jose15","8","1"
"53","Marcus17","4","0","Frank8","9","1"
"53","Jonathan5","9","0","Sherman12","5","1"
"53","Jessica10","7","0","Martin16","6","1"
"53","Danny19","9","0","Max14","5","1"
"53","Karen13","7","0","Vivien3","8","1"
"53","John4","4","0","Tom11","3","1"
"54","Jose15","8","1","Jonathan5","9","0"
"54","Frank8","9","1","Martin16","6","0"
"54","Alex2","3","1","Khoman 6","6","0"
"54","John4","4","1","Sherman12","5","0"
"54","Max14","5","1","","",""
"55","Jose15","8","0","Tom11","3","0"
"55","Alex2","3","0","Michael7","8","0"
"55","Khoman 6","6","0","Sherman12","5","0"
"55","Chris20","3","0","Joeseph9","7","0"
"55","Danny19","9","0","Martin16","6","0"
"56","John4","4","0","Frank8","9","3"
"56","Ryan18","5","0","Max14","5","3"
"56","Marcus17","4","0","Sherman12","5","3"
"56","Tom11","3","0","Danny19","9","3"
"56","Jeffrey1","7","0","Martin16","6","3"
"56","Jessica10","7","0","Michael7","8","3"
"56","Joeseph9","7","0","Karen13","7","3"
"57","Max14","5","0","Karen13","7","0"
"57","Michael7","8","0","Frank8","9","0"
"57","Chris20","3","0","Danny19","9","0"
"57","Jose15","8","0","Marcus17","4","0"
"57","Khoman 6","6","0","","",""
"58","Ryan18","5","0","Frank8","9","3"
"58","Tom11","3","0","Martin16","6","3"
"58","Michael7","8","0","Joeseph9","7","3"
"58","Vivien3","8","0","Jeffrey1","7","3"
"58","John4","4","0","Danny19","9","3"
"58","Karen13","7","0","Sherman12","5","3"
"58","Alex2","3","0","Khoman 6","6","3"
"59","Joeseph9","7","0","Karen13","7","1"
"59","Danny19","9","0","Tom11","3","1"
"59","Khoman 6","6","0","Sherman12","5","1"
"59","Max14","5","0","Alex2","3","1"
"59","Marcus17","4","0","Vivien3","8","1"
"59","Ryan18","5","0","Frank8","9","1"
"59","Chris20","3","0","Jessica10","7","1"
"59","Michael7","8","0","Jeffrey1","7","1"
"60","Chris20","3","0","Joeseph9","7","2"
"60","Jonathan5","9","0","Sherman12","5","2"
"60","Alex2","3","0","Jeffrey1","7","2"
"60","Max14","5","0","Ryan18","5","2"
"61","Joeseph9","7","5","Khoman 6","6","0"
"61","Chris20","3","5","Vivien3","8","0"
"61","Sherman12","5","5","Marcus17","4","0"
"61","Jose15","8","5","Alex2","3","0"
"61","Danny19","9","5","John4","4","0"
"61","Michael7","8","5","","",""
"62","Jeffrey1","7","0","Martin16","6","2"
"62","Alex2","3","0","Jose15","8","2"
"62","Khoman 6","6","0","Tom11","3","2"
"62","Max14","5","0","John4","4","2"
"62","Jonathan5","9","0","Danny19","9","2"
"62","Joeseph9","7","0","Michael7","8","2"
"62","Chris20","3","0","Frank8","9","2"
"63","Jonathan5","9","0","Marcus17","4","2"
"63","Sherman12","5","0","Danny19","9","2"
"63","Martin16","6","0","Vivien3","8","2"
"63","Jessica10","7","0","Frank8","9","2"
"63","Alex2","3","0","Joeseph9","7","2"
"63","Jeffrey1","7","0","Tom11","3","2"
"63","Chris20","3","0","Khoman 6","6","2"
"64","Chris20","3","0","Michael7","8","1"
"64","Sherman12","5","0","Tom11","3","1"
"64","Alex2","3","0","Marcus17","4","1"
"64","Martin16","6","0","Danny19","9","1"
"64","Karen13","7","0","Max14","5","1"
"64","Frank8","9","0","Jose15","8","1"
"64","John4","4","0","Ryan18","5","1"
"65","Alex2","3","0","Danny19","9","3"
"65","John4","4","0","Jessica10","7","3"
"65","Michael7","8","0","Tom11","3","3"
"65","Max14","5","0","Vivien3","8","3"
"65","Frank8","9","0","Karen13","7","3"
"65","Ryan18","5","0","Jonathan5","9","3"
"66","Marcus17","4","3","Vivien3","8","0"
"66","Michael7","8","3","John4","4","0"
"66","Jeffrey1","7","3","Sherman12","5","0"
"66","Martin16","6","3","Jonathan5","9","0"
"66","Jose15","8","3","Alex2","3","0"
"66","Khoman 6","6","3","Jessica10","7","0"
"66","Frank8","9","3","Max14","5","0"
"66","Tom11","3","3","","",""
"67","Jessica10","7","0","Max14","5","4"
"67","Chris20","3","0","Khoman 6","6","4"
"67","Tom11","3","0","Martin16","6","4"
"67","Sherman12","5","0","Jose15","8","4"
"68","Ryan18","5","0","Michael7","8","1"
"68","Jose15","8","0","Frank8","9","1"
"68","John4","4","0","Sherman12","5","1"
"68","Jessica10","7","0","Khoman 6","6","1"
"68","Jeffrey1","7","0","Martin16","6","1"
"69","Jeffrey1","7","4","Chris20","3","0"
"69","Martin16","6","4","Karen13","7","0"
"69","Sherman12","5","4","Max14","5","0"
"69","Jonathan5","9","4","Ryan18","5","0"
"70","Marcus17","4","0","Ryan18","5","0"
"70","Karen13","7","0","Khoman 6","6","0"
"70","Martin16","6","0","Jessica10","7","0"
"70","John4","4","0","Danny19","9","0"
"70","Frank8","9","0","Alex2","3","0"
"70","Michael7","8","0","Jonathan5","9","0"
"71","Jonathan5","9","0","Max14","5","4"
"71","Alex2","3","0","Martin16","6","4"
"71","Tom11","3","0","Joeseph9","7","4"
"71","Marcus17","4","0","Karen13","7","4"
"71","Sherman12","5","0","Danny19","9","4"
"72","Ryan18","5","0","Michael7","8","3"
"72","John4","4","0","Max14","5","3"
"72","Tom11","3","0","Vivien3","8","3"
"72","Jessica10","7","0","Frank8","9","3"
"72","Joeseph9","7","0","Karen13","7","3"
"72","Alex2","3","0","Khoman 6","6","3"
"72","Jonathan5","9","0","Sherman12","5","3"
"73","Jonathan5","9","3","Tom11","3","0"
"73","John4","4","3","Jeffrey1","7","0"
"73","Ryan18","5","3","Michael7","8","0"
"73","Danny19","9","3","Max14","5","0"
"73","Jessica10","7","3","Jose15","8","0"
"73","Sherman12","5","3","","",""
"74","Jonathan5","9","3","Chris20","3","0"
"74","Sherman12","5","3","Khoman 6","6","0"
"74","Martin16","6","3","Tom11","3","0"
"74","Michael7","8","3","John4","4","0"
"74","Jose15","8","3","Frank8","9","0"
"74","Jessica10","7","3","Alex2","3","0"
"74","Jeffrey1","7","3","Vivien3","8","0"
"74","Marcus17","4","3","Karen13","7","0"
"75","John4","4","2","Jeffrey1","7","0"
"75","Karen13","7","2","Martin16","6","0"
"75","Vivien3","8","2","Marcus17","4","0"
"75","Chris20","3","2","Jessica10","7","0"
"75","Ryan18","5","2","Khoman 6","6","0"
"75","Frank8","9","2","","",""
"76","Michael7","8","6","John4","4","0"
"76","Joeseph9","7","6","Chris20","3","0"
"76","Vivien3","8","6","Alex2","3","0"
"76","Khoman 6","6","6","Tom11","3","0"
"76","Ryan18","5","6","Max14","5","0"
"77","Vivien3","8","0","Jessica10","7","0"
"77","Sherman12","5","0","Michael7","8","0"
"77","Tom11","3","0","Alex2","3","0"
"77","Danny19","9","0","Joeseph9","7","0"
"78","Michael7","8","1","Khoman 6","6","0"
"78","Tom11","3","1","Frank8","9","0"
"78","Max14","5","1","Sherman12","5","0"
"78","Karen13","7","1","Martin16","6","0"
"78","Marcus17","4","1","Jonathan5","9","0"
"78","Vivien3","8","1","John4","4","0"
"78","Jeffrey1","7","1","Jessica10","7","0"
"78","Jose15","8","1","","",""
"79","Joeseph9","7","0","Jose15","8","1"
"79","Karen13","7","0","Ryan18","5","1"
"79","Marcus17","4","0","Frank8","9","1"
"79","Alex2","3","0","Michael7","8","1"
"79","Martin16","6","0","Chris20","3","1"
"79","Jessica10","7","0","John4","4","1"
"80","Sherman12","5","1","Martin16","6","0"
"80","Joeseph9","7","1","Alex2","3","0"
"80","Jessica10","7","1","Danny19","9","0"
"80","Jonathan5","9","1","Chris20","3","0"
"80","Tom11","3","1","Jose15","8","0"
"81","John4","4","2","Max14","5","0"
"81","Jonathan5","9","2","Sherman12","5","0"
"81","Jeffrey1","7","2","Danny19","9","0"
"81","Joeseph9","7","2","Michael7","8","0"
"81","Frank8","9","2","Vivien3","8","0"
"81","Karen13","7","2","Tom11","3","0"
"82","Tom11","3","0","Ryan18","5","4"
"82","Jessica10","7","0","Danny19","9","4"
"82","John4","4","0","Joeseph9","7","4"
"82","Karen13","7","0","Frank8","9","4"
"82","Jeffrey1","7","0","Michael7","8","4"
"83","Chris20","3","1","Vivien3","8","0"
"83","Frank8","9","1","Tom11","3","0"
"83","Joeseph9","7","1","Sherman12","5","0"
"83","Alex2","3","1","Jose15","8","0"
"83","Ryan18","5","1","","",""
"84","Danny19","9","0","Martin16","6","3"
"84","Marcus17","4","0","Jonathan5","9","3"
"84","Khoman 6","6","0","Frank8","9","3"
"84","Joeseph9","7","0","Jose15","8","3"
"85","Alex2","3","0","Sherman12","5","3"
"85","Jonathan5","9","0","Michael7","8","3"
"85","Chris20","3","0","Frank8","9","3"
"85","Jessica10","7","0","Vivien3","8","3"
"85","Max14","5","0","John4","4","3"
"85","Jeffrey1","7","0","Danny19","9","3"
"85","Karen13","7","0","Martin16","6","3"
"85","Khoman 6","6","0","Jose15","8","3"
"86","Max14","5","0","Jessica10","7","3"
"86","John4","4","0","Joeseph9","7","3"
"86","Khoman 6","6","0","Frank8","9","3"
"86","Jonathan5","9","0","Vivien3","8","3"
"86","Karen13","7","0","Michael7","8","3"
"87","Karen13","7","0","Jonathan5","9","2"
"87","Marcus17","4","0","Martin16","6","2"
"87","Sherman12","5","0","Chris20","3","2"
"87","John4","4","0","Max14","5","2"
"88","Sherman12","5","0","Michael7","8","4"
"88","Chris20","3","0","Jose15","8","4"
"88","Jessica10","7","0","Khoman 6","6","4"
"88","Max14","5","0","Ryan18","5","4"
"89","Khoman 6","6","0","Frank8","9","4"
"89","Vivien3","8","0","Danny19","9","4"
"89","John4","4","0","Sherman12","5","4"
"89","Tom11","3","0","Ryan18","5","4"
"90","Vivien3","8","0","John4","4","3"
"90","Tom11","3","0","Max14","5","3"
"90","Sherman12","5","0","Joeseph9","7","3"
"90","Alex2","3","0","Danny19","9","3"
"90","Khoman 6","6","0","Jessica10","7","3"
"91","Ryan18","5","1","John4","4","0"
"91","Karen13","7","1","Khoman 6","6","0"
"91","Jeffrey1","7","1","Joeseph9","7","0"
"91","Michael7","8","1","Jose15","8","0"
"91","Martin16","6","1","Jonathan5","9","0"
"91","Danny19","9","1","Vivien3","8","0"
"91","Max14","5","1","Marcus17","4","0"
"91","Tom11","3","1","","",""
"92","Ryan18","5","1","Marcus17","4","0"
"92","Sherman12","5","1","Martin16","6","0"
"92","Jessica10","7","1","Karen13","7","0"
"92","Joeseph9","7","1","Chris20","3","0"
"92","John4","4","1","Max14","5","0"
"92","Khoman 6","6","1","Jeffrey1","7","0"
"93","Khoman 6","6","2","Danny19","9","0"
"93","Chris20","3","2","Ryan18","5","0"
"93","Karen13","7","2","John4","4","0"
"93","Tom11","3","2","Marcus17","4","0"
"93","Martin16","6","2","Frank8","9","0"
"93","Jose15","8","2","Alex2","3","0"
"93","Jessica10","7","2","","",""
"94","Martin16","6","2","Vivien3","8","0"
"94","Jessica10","7","2","Chris20","3","0"
"94","Khoman 6","6","2","Jeffrey1","7","0"
"94","Frank8","9","2","Karen13","7","0"
"95","Marcus17","4","0","Joeseph9","7","4"
"95","Sherman12","5","0","Martin16","6","4"
"95","Chris20","3","0","Max14","5","4"
"95","John4","4","0","Danny19","9","4"
"95","Alex2","3","0","Ryan18","5","4"
"95","Jessica10","7","0","Karen13","7","4"
"96","Tom11","3","0","Alex2","3","0"
"96","Michael7","8","0","Max14","5","0"
"96","Jonathan5","9","0","Ryan18","5","0"
"96","Chris20","3","0","Danny19","9","0"
"96","Jeffrey1","7","0","Vivien3","8","0"
"97","Marcus17","4","0","Frank8","9","8"
"97","Tom11","3","0","Danny19","9","8"
"97","Max14","5","0","Vivien3","8","8"
"97","Ryan18","5","0","Jeffrey1","7","8"
"98","Chris20","3","3","Marcus17","4","0"
"98","Jonathan5","9","3","Jessica10","7","0"
"98","Danny19","9","3","Frank8","9","0"
"98","Ryan18","5","3","John4","4","0"
"98","Vivien3","8","3","Alex2","3","0"
"99","Marcus17","4","2","Karen13","7","0"
"99","Joeseph9","7","2","Martin16","6","0"
"99","Michael7","8","2","Ryan18","5","0"
"99","Alex2","3","2","Chris20","3","0"
"99","John4","4","2","","",""
"100","Chris20","3","2","Michael7","8","0"
"100","Vivien3","8","2","Marcus17","4","0"
"100","Joeseph9","7","2","Martin16","6","0"
"100","Max14","5","2","Sherman12","5","0"
"100","Jonathan5","9","2","Jose15","8","0"
"100","Jeffrey1","7","2","Tom11","3","0"
"101","Ryan18","5","0","Jose15","8","0"
"101","Vivien3","8","0","Jeffrey1","7","0"
"101","Alex2","3","0","Tom11","3","0"
"101","Sherman12","5","0","Max14","5","0"
"101","Frank8","9","0","Danny19","9","0"
"101","Khoman 6","6","0","Marcus17","4","0"
"101","Jessica10","7","0","Karen13","7","0"
"102","Frank8","9","2","Joeseph9","7","0"
"102","John4","4","2","Tom11","3","0"
"102","Karen13","7","2","Alex2","3","0"
"102","Vivien3","8","2","Michael7","8","0"
"102","Sherman12","5","2","Marcus17","4","0"
"102","Max14","5","2","Jeffrey1","7","0"
"103","Alex2","3","0","Marcus17","4","3"
"103","Michael7","8","0","Joeseph9","7","3"
"103","Chris20","3","0","Jonathan5","9","3"
"103","John4","4","0","Ryan18","5","3"
"103","Jessica10","7","0","Vivien3","8","3"
"104","Michael7","8","6","Jeffrey1","7","0"
"104","Alex2","3","6","Khoman 6","6","0"
"104","Max14","5","6","Tom11","3","0"
"104","Frank8","9","6","John4","4","0"
"104","Jonathan5","9","6","","",""
"105","Sherman12","5","1","Chris20","3","0"
"105","Danny19","9","1","Max14","5","0"
"105","Martin16","6","1","Jonathan5","9","0"
"105","Joeseph9","7","1","Khoman 6","6","0"
